Country,Year,PlasticEmittedToOcean,PlasticEmittedPerCapita,ProbabilityEnterOcean,MismanagedPlastic
Albania,2019,1565.0,0.543214162,1.56,
Algeria,2019,5774.0,0.134113767,0.09,
Angola,2019,860.0,0.027022781,0.09,
Antigua and Barbuda,2019,2.0,0.020618557,3.08,
Argentina,2019,4137.0,0.09238293,0.26,
Australia,2019,32.0,0.00126969,0.18,
Bahamas,2019,20.0,0.051413882,2.04,
Bahrain,2019,0.0,0.0,0.0,
Bangladesh,2019,24640.0,0.151122996,2.32,
Barbados,2019,45.0,0.156794425,4.35,
Belgium,2019,34.0,0.002946529,0.71,
Belize,2019,374.0,0.958974359,3.54,
Benin,2019,1639.0,0.138886535,0.14,
Bosnia and Herzegovina,2019,6.0,0.001817631,0.95,
Brazil,2019,37799.0,0.179099739,0.24,
Brunei,2019,134.0,0.309468822,10.22,
Bulgaria,2019,7.0,0.001,0.13,
Burkina Faso,2019,0.0,0.0,0.0,
Cambodia,2019,1113.0,0.067507733,0.63,
Cameroon,2019,10671.0,0.412389859,0.45,
Canada,2019,238.0,0.006361765,0.55,
Cape Verde,2019,0.0,0.0,0.0,
Chile,2019,322.0,0.016990291,2.58,
China,2000,,,,10350894.0
China,2001,,,,11011444.0
China,2002,,,,11856329.0
China,2003,,,,12626884.0
China,2004,,,,13483460.0
China,2005,,,,14150368.0
China,2006,,,,14978694.0
China,2007,,,,15803812.0
China,2008,,,,15907054.0
China,2009,,,,16354477.0
China,2010,,,,17217424.0
China,2011,,,,17758224.0
China,2012,,,,18039242.0
China,2013,,,,18188502.0
China,2014,,,,18450720.0
China,2015,,,,18448486.0
China,2016,,,,18205878.0
China,2017,,,,17901154.0
China,2018,,,,17046954.0
China,2019,70707.0,0.049314957,0.19,17462668.0
Colombia,2019,431.0,0.00856195,0.62,
Comoros,2019,0.0,0.0,0.0,
Congo,2019,676.0,0.125627207,0.08,
Costa Rica,2019,450.0,0.089144216,6.25,
Cote d'Ivoire,2019,4784.0,0.186024808,0.0,
Croatia,2019,224.0,0.054237288,0.0,
Cyprus,2019,3.0,0.002502085,0.62,
Democratic Republic of Congo,2019,420.0,0.004839211,0.01,
Denmark,2019,9.0,0.001559252,2.33,
Djibouti,2019,4.0,0.004106776,0.22,
Dominica,2019,53.0,0.736111111,7.73,
Dominican Republic,2019,6276.0,0.584411956,2.59,
East Timor,2019,715.0,0.552977572,3.8,
Ecuador,2019,1136.0,0.065385058,0.57,
Egypt,2019,2471.0,0.024614496,0.04,
El Salvador,2019,808.0,0.125193678,2.71,
Equatorial Guinea,2019,405.0,0.298672566,2.97,
Eritrea,2019,48.0,0.013726051,0.13,
Estonia,2019,12.0,0.009049774,0.76,
Fiji,2019,365.0,0.41011236,7.54,
Finland,2019,0.0,0.0,0.0,
France,2019,235.0,0.003608168,0.56,
French Guiana,2019,7.0,0.024054983,2.18,
Gabon,2019,445.0,0.20478601,0.7,
Gambia,2019,421.0,0.179301533,0.67,
Georgia,2019,3.0,0.000750563,1.23,
Germany,2019,134.0,0.001604464,0.26,
Ghana,2019,4185.0,0.13758301,0.28,
Greece,2019,216.0,0.020624463,0.91,
Grenada,2019,130.0,1.160714286,5.99,
Guadeloupe,2019,4.0,0.01,4.35,
Guatemala,2019,7142.0,0.406234003,1.74,
Guinea,2019,2347.0,0.183775742,0.0,
Guinea-Bissau,2019,247.0,0.128578865,2.36,
Guyana,2019,1246.0,1.591315453,0.89,
Haiti,2019,6929.0,0.615200213,2.95,
Honduras,2019,2436.0,0.249948697,1.48,
Hong Kong,2019,112.0,0.015061861,4.51,
Iceland,2019,0.0,0.0,0.0,
India,2000,,,,2359011.0
India,2001,,,,2567475.0
India,2002,,,,2822789.0
India,2003,,,,3072402.0
India,2004,,,,3350256.0
India,2005,,,,3595685.0
India,2006,,,,3888038.0
India,2007,,,,4193827.0
India,2008,,,,4344496.0
India,2009,,,,4587107.0
India,2010,,,,5035518.0
India,2011,,,,5436582.0
India,2012,,,,5808127.0
India,2013,,,,6225948.0
India,2014,,,,6641710.0
India,2015,,,,6936626.0
India,2016,,,,7340763.0
India,2017,,,,7743059.0
India,2018,,,,8119849.0
India,2019,126513.0,0.092587331,0.45,8457541.0
Indonesia,2019,56333.0,0.208158135,4.45,
Iran,2019,928.0,0.01119232,0.07,
Iraq,2019,67.0,0.001704401,0.01,
Ireland,2019,115.0,0.02355592,2.97,
Israel,2019,33.0,0.003873694,0.29,
Italy,2019,414.0,0.006837325,0.88,
Jamaica,2019,2334.0,0.791723202,5.07,
Japan,2019,1835.0,0.014464764,3.58,
Jordan,2019,1.0,9.9e-05,0.07,
Kazakhstan,2019,13.0,0.000700771,0.1,
Kenya,2019,259.0,0.004926389,0.17,
Kiribati,2019,0.0,0.0,0.0,
Kuwait,2019,7.0,0.001663894,0.2,
Latvia,2019,9.0,0.004719455,0.5,
Lebanon,2019,684.0,0.099766628,1.27,
Lesotho,2019,0.0,0.0,0.0,
Liberia,2019,2638.0,0.534332591,3.68,
Libya,2019,879.0,0.129703409,0.06,
Lithuania,2019,7.0,0.002536232,0.21,
Macau,2019,341.0,,1.62,
Madagascar,2019,775.0,0.028736698,1.58,
Malaysia,2019,73098.0,2.287887324,4.38,
Maldives,2019,0.0,0.0,0.0,
Malta,2019,0.0,0.0,0.0,
Marshall Islands,2019,0.0,0.0,0.0,
Martinique,2019,22.0,0.058510638,10.11,
Mauritania,2019,127.0,0.028060097,0.1,
Mauritius,2019,0.0,0.0,0.0,
Mexico,2019,3512.0,0.027528689,0.46,
Micronesia,2019,37.0,,5.0,
Monaco,2019,0.0,0.0,0.0,
Montenegro,2019,0.0,0.0,2.08,
Morocco,2019,1800.0,0.049352928,0.15,
Mozambique,2019,2544.0,0.08377791,0.36,
Myanmar,2019,2544.0,0.047071885,0.36,
Namibia,2019,2.0,0.000801603,0.05,
Netherlands,2019,271.0,0.015850734,1.54,
New Zealand,2019,68.0,0.014217019,3.78,
Nicaragua,2019,1465.0,0.223800794,2.08,
Nigeria,2019,18640.0,0.092752931,0.42,
North Korea,2019,50.0,0.001948103,0.69,
Norway,2019,0.0,0.0,0.0,
Oman,2019,1.0,0.000201005,0.11,
Pakistan,2019,873.0,0.004031122,0.02,
Palau,2019,7.0,0.388888889,13.74,
Palestine,2019,118.0,0.023690022,9.29,
Panama,2019,5237.0,1.233396138,7.12,
Papua New Guinea,2019,3059.0,0.348564266,4.39,
Peru,2019,259.0,0.007966779,0.05,
Philippines,2019,356371.0,3.296160641,7.17,
Poland,2019,29.0,0.000765414,0.13,
Portugal,2019,76.0,0.007432036,0.84,
Puerto Rico,2019,71.0,0.024207296,5.77,
Qatar,2019,0.0,0.0,0.07,
Reunion,2019,0.0,0.0,0.0,
Romania,2019,80.0,0.004131164,0.04,
Russia,2019,542.0,0.003715586,0.12,
Saint Kitts and Nevis,2019,1.0,0.018867925,2.52,
Saint Lucia,2019,449.0,2.453551913,7.92,
Saint Martin,2019,0.0,,0.0,
Saint Vincent and the Grenadines,2019,81.0,0.72972973,7.19,
Samoa,2019,0.0,0.0,0.0,
Sao Tome and Principe,2019,77.0,0.358139535,3.67,
Saudi Arabia,2019,3.0,8.75e-05,0.06,
Senegal,2019,169.0,0.010370643,0.21,
Seychelles,2019,0.0,0.0,0.0,
Sierra Leone,2019,3624.0,0.463842314,3.09,
Singapore,2019,164.0,0.028256375,10.49,
Sint Maarten,2019,0.0,,0.0,
Slovakia,2019,0.0,0.0,0.0,
Slovenia,2019,11.0,0.005291005,1.13,
Solomon Islands,2019,100.0,0.149253731,10.34,
Somalia,2019,2.0,0.000129509,0.14,
South Africa,2019,4266.0,0.072850849,0.12,
South Korea,2019,387.0,0.007554905,1.59,
Spain,2019,235.0,0.005028136,0.36,
Sri Lanka,2019,9654.0,0.452729319,3.42,
Sudan,2019,106.0,0.002475883,0.01,
Suriname,2019,1677.0,2.886402754,0.85,
Sweden,2019,36.0,0.003587086,1.03,
Syria,2019,44.0,0.002577622,0.12,
Taiwan,2019,531.0,0.022335324,5.64,
Tanzania,2019,5785.0,0.099732782,0.22,
Thailand,2019,22806.0,0.327550053,0.9,
Togo,2019,436.0,0.053947043,0.17,
Tonga,2019,0.0,0.0,0.0,
Trinidad and Tobago,2019,3557.0,2.549820789,5.05,
Tunisia,2019,688.0,0.058828559,0.18,
Turkey,2019,14329.0,0.171748771,0.37,
Ukraine,2019,859.0,0.01952539,0.1,
United Arab Emirates,2019,14.0,0.001432811,0.18,
United Kingdom,2019,703.0,0.010410188,3.02,
United States,2000,,,,3638777.0
United States,2001,,,,3641029.0
United States,2002,,,,3680473.0
United States,2003,,,,3692642.0
United States,2004,,,,3713553.0
United States,2005,,,,3685981.0
United States,2006,,,,3683387.0
United States,2007,,,,3673731.0
United States,2008,,,,3534963.0
United States,2009,,,,3457134.0
United States,2010,,,,3442054.0
United States,2011,,,,3364751.0
United States,2012,,,,3264327.0
United States,2013,,,,3160712.0
United States,2014,,,,3030476.0
United States,2015,,,,2916320.0
United States,2016,,,,2835037.0
United States,2017,,,,2703756.0
United States,2018,,,,2587329.0
United States,2019,2431.0,0.007387598,0.35,2448288.0
Uruguay,2019,998.0,0.288272675,0.52,
Venezuela,2019,5988.0,0.209987376,0.39,
Vietnam,2019,28221.0,0.292560801,1.6,
Western Sahara,2019,38.0,0.065292096,0.11,
Yemen,2019,252.0,0.008641383,0.07,
Zimbabwe,2019,0.0,0.0,0.0,
