Entity,Year,Probability of plastic being emitted to ocean
Albania,2019,1.56
Algeria,2019,0.09
Angola,2019,0.09
Antigua and Barbuda,2019,3.08
Argentina,2019,0.26
Australia,2019,0.18
Bahamas,2019,2.04
Bahrain,2019,0
Bangladesh,2019,2.32
Barbados,2019,4.35
Belgium,2019,0.71
Belize,2019,3.54
Benin,2019,0.14
Bosnia and Herzegovina,2019,0.95
Brazil,2019,0.24
Brunei,2019,10.22
Bulgaria,2019,0.13
Burkina Faso,2019,0
Cambodia,2019,0.63
Cameroon,2019,0.45
Canada,2019,0.55
Cape Verde,2019,0
Chile,2019,2.58
China,2019,0.19
Colombia,2019,0.62
Comoros,2019,0
Congo,2019,0.08
Costa Rica,2019,6.25
Cote d'Ivoire,2019,0
Croatia,2019,0
Cyprus,2019,0.62
Democratic Republic of Congo,2019,0.01
Denmark,2019,2.33
Djibouti,2019,0.22
Dominica,2019,7.73
Dominican Republic,2019,2.59
East Timor,2019,3.8
Ecuador,2019,0.57
Egypt,2019,0.04
El Salvador,2019,2.71
Equatorial Guinea,2019,2.97
Eritrea,2019,0.13
Estonia,2019,0.76
Fiji,2019,7.54
Finland,2019,0
France,2019,0.56
French Guiana,2019,2.18
Gabon,2019,0.7
Gambia,2019,0.67
Georgia,2019,1.23
Germany,2019,0.26
Ghana,2019,0.28
Greece,2019,0.91
Grenada,2019,5.99
Guadeloupe,2019,4.35
Guatemala,2019,1.74
Guinea,2019,0
Guinea-Bissau,2019,2.36
Guyana,2019,0.89
Haiti,2019,2.95
Honduras,2019,1.48
Hong Kong,2019,4.51
Iceland,2019,0
India,2019,0.45
Indonesia,2019,4.45
Iran,2019,0.07
Iraq,2019,0.01
Ireland,2019,2.97
Israel,2019,0.29
Italy,2019,0.88
Jamaica,2019,5.07
Japan,2019,3.58
Jordan,2019,0.07
Kazakhstan,2019,0.1
Kenya,2019,0.17
Kiribati,2019,0
Kuwait,2019,0.2
Latvia,2019,0.5
Lebanon,2019,1.27
Lesotho,2019,0
Liberia,2019,3.68
Libya,2019,0.06
Lithuania,2019,0.21
Macau,2019,1.62
Madagascar,2019,1.58
Malaysia,2019,4.38
Maldives,2019,0
Malta,2019,0
Marshall Islands,2019,0
Martinique,2019,10.11
Mauritania,2019,0.1
Mauritius,2019,0
Mexico,2019,0.46
Micronesia,2019,5
Monaco,2019,0
Montenegro,2019,2.08
Morocco,2019,0.15
Mozambique,2019,0.36
Myanmar,2019,0.36
Namibia,2019,0.05
Netherlands,2019,1.54
New Zealand,2019,3.78
Nicaragua,2019,2.08
Nigeria,2019,0.42
North Korea,2019,0.69
Norway,2019,0
Oman,2019,0.11
Pakistan,2019,0.02
Palau,2019,13.74
Palestine,2019,9.29
Panama,2019,7.12
Papua New Guinea,2019,4.39
Peru,2019,0.05
Philippines,2019,7.17
Poland,2019,0.13
Portugal,2019,0.84
Puerto Rico,2019,5.77
Qatar,2019,0.07
Reunion,2019,0
Romania,2019,0.04
Russia,2019,0.12
Saint Kitts and Nevis,2019,2.52
Saint Lucia,2019,7.92
Saint Martin,2019,0
Saint Vincent and the Grenadines,2019,7.19
Samoa,2019,0
Sao Tome and Principe,2019,3.67
Saudi Arabia,2019,0.06
Senegal,2019,0.21
Seychelles,2019,0
Sierra Leone,2019,3.09
Singapore,2019,10.49
Sint Maarten,2019,0
Slovakia,2019,0
Slovenia,2019,1.13
Solomon Islands,2019,10.34
Somalia,2019,0.14
South Africa,2019,0.12
South Korea,2019,1.59
Spain,2019,0.36
Sri Lanka,2019,3.42
Sudan,2019,0.01
Suriname,2019,0.85
Sweden,2019,1.03
Syria,2019,0.12
Taiwan,2019,5.64
Tanzania,2019,0.22
Thailand,2019,0.9
Togo,2019,0.17
Tonga,2019,0
Trinidad and Tobago,2019,5.05
Tunisia,2019,0.18
Turkey,2019,0.37
Ukraine,2019,0.1
United Arab Emirates,2019,0.18
United Kingdom,2019,3.02
United States,2019,0.35
Uruguay,2019,0.52
Venezuela,2019,0.39
Vietnam,2019,1.6
Western Sahara,2019,0.11
Yemen,2019,0.07
Zimbabwe,2019,0